城市,0-14岁,15-59岁,60-65岁,65岁以及上
,,,,
成都市,13.27,68.75,4.35,13.63  
自贡市,15.78,56.88,6.04,21.28  
攀枝花市,14.01,66.23,3.89,15.87  
泸州市,18.22,58.79,5.33,17.66  
德阳市,13.05,61.12,5.57,20.24  
绵阳市,14.12,62.17,5.34,18.35  
广元市,15.36,60.14,5.68,18.82  
遂宁市,15.51,59.30,5.35,19.84  
内江市,15.54,59.23,5.19,20.04  
乐山市,14.12,61.38,5.32,19.18  
南充市,15.71,58.29,5.32,20.68  
眉山市,14.02,61.25,4.72,20.01  
宜宾市,18.72,60.71,4.82,15.75  
广安市,17.54,57.66,5.22,19.58  
达州市,17.28,60.36,4.39,17.97  
雅安市,15.38,63.17,4.43,17.02  
巴中市,17.34,58.20,4.78,19.66  
资阳市,16.74,55.07,5.56,22.63  
阿坝藏族羌族自治州,18.86,66.79,3.53,10.82  
甘孜藏族自治州,22.98,65.66,2.99,8.35  
凉山彝族自治州,27.65,59.91,2.96,9.48
